,id,title,author,year,venue,citations,abstract
0,8,The hierarchical ordering in Multiattribute files,C. C. Chang,1983,Information Sciences: an International Journal,,
1,8,The hierarchical ordering in Multiattribute files,M. W. Du,1983,Information Sciences: an International Journal,,
2,8,The hierarchical ordering in Multiattribute files,R. C. T. Lee,1983,Information Sciences: an International Journal,,
3,9,Insertion languages,David Haussler,1983,Information Sciences: an International Journal,,
4,10,The Three-Machine No-Wait Flow Shop is NP-Complete,Hans Röck,1984,Journal of the ACM (JACM),289259,
5,11,Lower Bounds and Fast Algorithms for Sequence Acceleration,George M. Trojan,1984,Journal of the ACM (JACM),289024,
6,11,Lower Bounds and Fast Algorithms for Sequence Acceleration,George M. Trojan,1984,Journal of the ACM (JACM),408638,
7,12,Space-Time Trade-Offs for Banded Matrix Problems,John E. Savage,1984,Journal of the ACM (JACM),289024,
8,12,Space-Time Trade-Offs for Banded Matrix Problems,John E. Savage,1984,Journal of the ACM (JACM),408638,
9,12,Space-Time Trade-Offs for Banded Matrix Problems,John E. Savage,1984,Journal of the ACM (JACM),600828,
10,12,Space-Time Trade-Offs for Banded Matrix Problems,John E. Savage,1984,Journal of the ACM (JACM),688897,
